Date,Week,Team 1,Team 2,Team 1 Score,Team 2 Score,Game Type
10/13/24,Week 6,Boston Brawlers,Los Angeles Wildcats,130.75,203.3,Season
10/20/24,Week 7,Tucson Sugar Skulls,Chicago Slaughter,179.85,199.25,Season
10/20/24,Week 7,Milwaukee Mustangs,Brooklyn Bolts,139.65,150.9,Season
10/20/24,Week 7,Cleveland Gladiators,Boston Brawlers,156.45,162,Season
10/20/24,Week 7,Philadelphia Soul,Vegas Knight Hawks,188.6,138.65,Season
10/20/24,Week 7,Northern Arizona Wranglers,Miami Inferno,153.15,154.75,Season
10/20/24,Week 7,Cedar Rapids Titans,Los Angeles Wildcats,88.7,164.65,Season
10/27/24,Week 8,Tucson Sugar Skulls,Brooklyn Bolts,156.85,163.75,Season
10/27/24,Week 8,Milwaukee Mustangs,Chicago Slaughter,193.3,162.35,Season
10/27/24,Week 8,Cleveland Gladiators,Miami Inferno,184.6,164.6,Season
10/27/24,Week 8,Philadelphia Soul,Northern Arizona Wranglers,180.3,187.45,Season
10/27/24,Week 8,Cedar Rapids Titans,Boston Brawlers,216.5,173.7,Season
10/27/24,Week 8,Vegas Knight Hawks,Los Angeles Wildcats,165.4,173.15,Season
11/03/24,Week 9,Tucson Sugar Skulls,Miami Inferno,214.45,158.85,Season
11/03/24,Week 9,Milwaukee Mustangs,Boston Brawlers,197.25,181.95,Season
11/03/24,Week 9,Cleveland Gladiators,Los Angeles Wildcats,170.35,181.35,Season
11/03/24,Week 9,Brooklyn Bolts,Cedar Rapids Titans,177.8,147.65,Season
11/03/24,Week 9,Philadelphia Soul,Chicago Slaughter,184.4,217.6,Season
11/03/24,Week 9,Northern Arizona Wranglers,Vegas Knight Hawks,141.1,150.9,Season
11/10/24,Week 10,Tucson Sugar Skulls,Northern Arizona Wranglers,155.4,129.95,Season
11/10/24,Week 10,Milwaukee Mustangs,Cleveland Gladiators,195.9,168.8,Season
11/10/24,Week 10,Brooklyn Bolts,Los Angeles Wildcats,166.75,162.1,Season
11/10/24,Week 10,Philadelphia Soul,Boston Brawlers,164.2,170.2,Season
11/10/24,Week 10,Cedar Rapids Titans,Chicago Slaughter,142.1,192.1,Season
11/10/24,Week 10,Vegas Knight Hawks,Miami Inferno,176.7,172.9,Season
11/17/24,Week 11,Tucson Sugar Skulls,Milwaukee Mustangs,248.5,188.8,Season
11/17/24,Week 11,Cleveland Gladiators,Cedar Rapids Titans,212.75,151.35,Season
11/17/24,Week 11,Brooklyn Bolts,Philadelphia Soul,178.15,198.05,Season
11/17/24,Week 11,Northern Arizona Wranglers,Los Angeles Wildcats,179.35,184.8,Season
11/17/24,Week 11,Vegas Knight Hawks,Boston Brawlers,183.1,223.95,Season
11/17/24,Week 11,Chicago Slaughter,Miami Inferno,136.05,226.1,Season
11/24/24,Week 12,Tucson Sugar Skulls,Philadelphia Soul,197.5,178.15,Season
11/24/24,Week 12,Milwaukee Mustangs,Northern Arizona Wranglers,195.15,150.6,Season
11/24/24,Week 12,Cleveland Gladiators,Brooklyn Bolts,197.25,159.5,Season
11/24/24,Week 12,Cedar Rapids Titans,Vegas Knight Hawks,178.05,204.15,Season
11/24/24,Week 12,Boston Brawlers,Chicago Slaughter,187.05,153.15,Season
11/24/24,Week 12,Los Angeles Wildcats,Miami Inferno,145.95,106,Season
12/01/24,Week 13,Milwaukee Mustangs,Los Angeles Wildcats,205.3,189.2,Season
12/01/24,Week 13,Tucson Sugar Skulls,Cedar Rapids Titans,215.35,191.3,Season
12/01/24,Week 13,Cleveland Gladiators,Vegas Knight Hawks,196.45,178.35,Season
12/01/24,Week 13,Brooklyn Bolts,Chicago Slaughter,212.35,201.45,Season
12/01/24,Week 13,Philadelphia Soul,Miami Inferno,177.1,154.55,Season
12/01/24,Week 13,Northern Arizona Wranglers,Boston Brawlers,157.6,186.1,Season
12/08/24,Week 14,Milwaukee Mustangs,Vegas Knight Hawks,230.3,175.35,Season
12/08/24,Week 14,Tucson Sugar Skulls,Los Angeles Wildcats,166.05,207.8,Season
12/08/24,Week 14,Cleveland Gladiators,Philadelphia Soul,242.65,175,Season
12/08/24,Week 14,Brooklyn Bolts,Boston Brawlers,171.15,207.6,Season
12/08/24,Week 14,Northern Arizona Wranglers,Chicago Slaughter,132.25,177.35,Season
12/08/24,Week 14,Cedar Rapids Titans,Miami Inferno,171.85,201.05,Season
12/15/24,Playoff Week 1,Boston Brawlers,Tucson Sugar Skulls,224.9,260.3,Playoffs
12/15/24,Playoff Week 1,Chicago Slaughter,Vegas Knight Hawks,208,169.6,Playoffs
12/15/24,Playoff Week 1,Cleveland Gladiators,Los Angeles Wildcats,148.3,226.2,Playoffs
12/22/24,Playoff Week 2,Tucson Sugar Skulls,Milwaukee Mustangs,207.4,182,Playoffs
12/22/24,Playoff Week 2,Chicago Slaughter,Los Angeles Wildcats,232.95,132.9,Playoffs
12/29/24,Playoff Week 3,Tucson Sugar Skulls,Chicago Slaughter,232.65,194.8,Playoffs
09/07/25,Week 1,Cedar Rapids Titans,Milwaukee Mustangs,162.5,176.45,Season
09/07/25,Week 1,Chicago Slaughter,Cleveland Gladiators,150.15,132.2,Season
09/07/25,Week 1,Brooklyn Bolts,Philadelphia Soul,118.9,173.1,Season
09/07/25,Week 1,Boston Brawlers,Miami Inferno,194.3,157.4,Season
09/07/25,Week 1,Vegas Knight Hawks,Northern Arizona Wranglers,159.8,201.1,Season
09/07/25,Week 1,Los Angeles Wildcats,Tucson Sugar Skulls,213.1,192.25,Season
09/14/25,Week 2,Cleveland Gladiators,Milwaukee Mustangs,238.6,161.6,Season
09/14/25,Week 2,Brooklyn Bolts,Boston Brawlers,126.9,162.95,Season
09/14/25,Week 2,Los Angeles Wildcats,Vegas Knight Hawks,203.85,235.15,Season
09/14/25,Week 2,Philadelphia Soul,Miami Inferno,153.1,171.1,Season
09/14/25,Week 2,Tucson Sugar Skulls,Northern Arizona Wranglers,170.7,157.9,Season
09/14/25,Week 2,Chicago Slaughter,Cedar Rapids Titans,142.1,155.95,Season
09/21/25,Week 3,Cleveland Gladiators,Cedar Rapids Titans,176.8,206.35,Season
09/21/25,Week 3,Brooklyn Bolts,Miami Inferno,187.4,169.1,Season
09/21/25,Week 3,Philadelphia Soul,Boston Brawlers,200.15,201.6,Season
09/21/25,Week 3,Tucson Sugar Skulls,Vegas Knight Hawks,145.3,116.2,Season
09/21/25,Week 3,Los Angeles Wildcats,Northern Arizona Wranglers,158.05,155.7,Season
09/21/25,Week 3,Chicago Slaughter,Milwaukee Mustangs,172,175.55,Season
09/28/25,Week 4,Boston Brawlers,Cleveland Gladiators,190.65,248.65,Season
09/28/25,Week 4,Miami Inferno,Tucson Sugar Skulls,186.95,196.35,Season
09/28/25,Week 4,Brooklyn Bolts,Northern Arizona Wranglers,159.85,173.15,Season
09/28/25,Week 4,Vegas Knight Hawks,Philadelphia Soul,125.9,201.4,Season
09/28/25,Week 4,Cedar Rapids Titans,Los Angeles Wildcats,142.85,196.35,Season
09/28/25,Week 4,Milwaukee Mustangs,Chicago Slaughter,140.05,201.35,Season
10/05/25,Week 5,Vegas Knight Hawks,Los Angeles Wildcats,158.1,192.4,Season
10/05/25,Week 5,Milwaukee Mustangs,Philadelphia Soul,195.2,222.1,Season
10/05/25,Week 5,Northern Arizona Wranglers,Miami Inferno,199.8,176.75,Season
10/05/25,Week 5,Chicago Slaughter,Brooklyn Bolts,195.2,242.3,Season
10/05/25,Week 5,Tucson Sugar Skulls,Boston Brawlers,169.8,168.2,Season
10/05/25,Week 5,Cleveland Gladiators,Cedar Rapids Titans,175.6,186.4,Season
10/12/25,Week 6,Chicago Slaughter,Cedar Rapids Titans,180.35,156.8,Season
10/12/25,Week 6,Philadelphia Soul,Los Angeles Wildcats,175.4,185.85,Season
10/12/25,Week 6,Tucson Sugar Skulls,Vegas Knight Hawks,167.9,164.2,Season
10/12/25,Week 6,Milwaukee Mustangs,Miami Inferno,153.3,152.4,Season
10/12/25,Week 6,Boston Brawlers,Brooklyn Bolts,193.5,183.75,Season
10/12/25,Week 6,Northern Arizona Wranglers,Cleveland Gladiators,218.65,158.35,Season
10/19/25,Week 7,Tucson Sugar Skulls,Milwaukee Mustangs,216.2,198.75,Season
10/19/25,Week 7,Philadelphia Soul,Miami Inferno,165.1,156.95,Season
10/19/25,Week 7,Cleveland Gladiators,Brooklyn Bolts,149.45,151.5,Season
10/19/25,Week 7,Los Angeles Wildcats,Northern Arizona Wranglers,241.15,202.15,Season
10/19/25,Week 7,Boston Brawlers,Chicago Slaughter,175.95,134.9,Season
10/19/25,Week 7,Cedar Rapids Titans,Vegas Knight Hawks,206.35,223.15,Season
10/26/25,Week 8,Los Angeles Wildcats,Tucson Sugar Skulls,176.85,180.75,Season
10/26/25,Week 8,Vegas Knight Hawks,Chicago Slaughter,189.4,158.35,Season
10/26/25,Week 8,Miami Inferno,Brooklyn Bolts,141.7,113.8,Season
10/26/25,Week 8,Milwaukee Mustangs,Boston Brawlers,222.45,213.85,Season
10/26/25,Week 8,Northern Arizona Wranglers,Cedar Rapids Titans,169.05,214.75,Season
10/26/25,Week 8,Cleveland Gladiators,Philadelphia Soul,180.15,110.75,Season
11/02/25,Week 9,Milwaukee Mustangs,Brooklyn Bolts,192.55,176.85,Season
11/02/25,Week 9,Cleveland Gladiators,Los Angeles Wildcats,167.8,188.25,Season
11/02/25,Week 9,Cedar Rapids Titans,Boston Brawlers,196.95,192.6,Season
11/02/25,Week 9,Philadelphia Soul,Chicago Slaughter,217.25,159.7,Season
11/02/25,Week 9,Tucson Sugar Skulls,Northern Arizona Wranglers,194.95,184.6,Season
11/02/25,Week 9,Miami Inferno,Vegas Knight Hawks,170.85,162.1,Season
11/09/25,Week 10,Northern Arizona Wranglers,Milwaukee Mustangs,123.2,172.1,Season
11/09/25,Week 10,Vegas Knight Hawks,Cleveland Gladiators,134.95,173.85,Season
11/09/25,Week 10,Boston Brawlers,Philadelphia Soul,194.9,199.5,Season
11/09/25,Week 10,Los Angeles Wildcats,Chicago Slaughter,173.15,188.9,Season
11/09/25,Week 10,Miami Inferno,Cedar Rapids Titans,157.9,186.75,Season
11/09/25,Week 10,Brooklyn Bolts,Tucson Sugar Skulls,182.3,205.55,Season
11/16/25,Week 11,Milwaukee Mustangs,Cleveland Gladiators,206.85,176.8,Season
11/16/25,Week 11,Miami Inferno,Los Angeles Wildcats,162.95,201.15,Season
11/16/25,Week 11,Philadelphia Soul,Brooklyn Bolts,163.5,185.35,Season
11/16/25,Week 11,Boston Brawlers,Vegas Knight Hawks,158.85,120.25,Season
11/16/25,Week 11,Northern Arizona Wranglers,Chicago Slaughter,182.55,185.1,Season
11/16/25,Week 11,Cedar Rapids Titans,Tucson Sugar Skulls,143.8,180,Season
11/23/25,Week 12,Milwaukee Mustangs,Cedar Rapids Titans,168.7,183.85,Season
11/23/25,Week 12,Vegas Knight Hawks,Northern Arizona Wranglers,133.45,172.15,Season
11/23/25,Week 12,Chicago Slaughter,Cleveland Gladiators,186.55,143.6,Season
11/23/25,Week 12,Miami Inferno,Boston Brawlers,163.05,167.35,Season
11/23/25,Week 12,Brooklyn Bolts,Los Angeles Wildcats,148,193.65,Season
11/23/25,Week 12,Philadelphia Soul,Tucson Sugar Skulls,152.15,255.7,Season
11/30/25,Week 13,Los Angeles Wildcats,Milwaukee Mustangs,187.65,196.95,Season
11/30/25,Week 13,Brooklyn Bolts,Vegas Knight Hawks,145.65,205.55,Season
11/30/25,Week 13,Miami Inferno,Cleveland Gladiators,160.55,184.4,Season
11/30/25,Week 13,Tucson Sugar Skulls,Chicago Slaughter,199.65,178.25,Season
11/30/25,Week 13,Cedar Rapids Titans,Philadelphia Soul,165,168.7,Season
11/30/25,Week 13,Northern Arizona Wranglers,Boston Brawlers,188,184.9,Season
12/07/25,Week 14,Vegas Knight Hawks,Milwaukee Mustangs,115.45,219.65,Season
12/07/25,Week 14,Boston Brawlers,Los Angeles Wildcats,201.3,162.35,Season
12/07/25,Week 14,Chicago Slaughter,Miami Inferno,174.1,161.1,Season
12/07/25,Week 14,Cleveland Gladiators,Tucson Sugar Skulls,169.8,168.7,Season
12/07/25,Week 14,Northern Arizona Wranglers,Philadelphia Soul,151.95,133.35,Season
12/07/25,Week 14,Cedar Rapids Titans,Brooklyn Bolts,201.8,180.9,Season
12/14/25,Playoff Week 1,Cedar Rapids Titans,Los Angeles Wildcats,199.75,263,Playoffs
12/14/25,Playoff Week 1,Northern Arizona Wranglers,Boston Brawlers,208.4,249.7,Playoffs
12/14/25,Playoff Week 1,Philadelphia Soul,Milwaukee Mustangs,207.4,232.9,Playoffs
